Date,Month,Year,Temp_Anamoly,Avg_Temp_F,Avg_Precip_In,CORN_Open,CORN_High,CORN_Low,CORN_Close,CORN_Volume,WEAT_Open,WEAT_High,WEAT_Low,WEAT_Close,WEAT_Volume,CANE_Open,CANE_High,CANE_Low,CANE_Close,CANE_Volume,HSY_Open,HSY_High,HSY_Low,HSY_Close,HSY_Volume,SJM_Open,SJM_High,SJM_Low,SJM_Close,SJM_Volume,GIS_Open,GIS_High,GIS_Low,GIS_Close,GIS_Volume,PEP_Open,PEP_High,PEP_Low,PEP_Close,PEP_Volume,CPB_Open,CPB_High,CPB_Low,CPB_Close,CPB_Volume,CORN_profit,WEAT_profit,CANE_profit,HSY_profit,SJM_profit,GIS_profit,PEP_profit,CPB_profit,CORN_return,WEAT_return,CANE_return,HSY_return,SJM_return,GIS_return,PEP_return,CPB_return,CORN_cum_return,WEAT_cum_return,CANE_cum_return,HSY_cum_return,SJM_cum_return,GIS_cum_return,PEP_cum_return,CPB_cum_return,CORN_MA,CORN_STD,CORN_UpperBand,CORN_LowerBand,WEAT_MA,WEAT_STD,WEAT_UpperBand,WEAT_LowerBand,CANE_MA,CANE_STD,CANE_UpperBand,CANE_LowerBand,HSY_MA,HSY_STD,HSY_UpperBand,HSY_LowerBand,SJM_MA,SJM_STD,SJM_UpperBand,SJM_LowerBand,GIS_MA,GIS_STD,GIS_UpperBand,GIS_LowerBand,PEP_MA,PEP_STD,PEP_UpperBand,PEP_LowerBand,CPB_MA,CPB_STD,CPB_UpperBand,CPB_LowerBand,CORN_MaxDrawdown,WEAT_MaxDrawdown,CANE_MaxDrawdown,HSY_MaxDrawdown,SJM_MaxDrawdown,GIS_MaxDrawdown,PEP_MaxDrawdown,CPB_MaxDrawdown
2012-01-03,January,2012,0.5,36.12,2.09,42.73,42.99,42.18,42.62,114100.0,22.56,22.95,22.46,22.46,6100.0,23.68,23.81,23.68,23.81,200.0,62.1,62.38,60.7,60.79,1305700.0,79.07,79.1,77.3,77.3,432200.0,40.59,40.7,40.04,40.3,4401000.0,66.86,67.19,66.36,66.4,5348800.0,33.5,33.69,32.93,32.98,1854500.0,4862942.0,137006.0,4762.0,79373503.0,33409060.0,177360300.0,355160320.00000006,61161409.99999999,-0.0025809479117785417,-0.011576135351736516,0.021839563208735813,0.0021385096232933165,-0.0002587322121603286,0.005955334987593153,0.005120481927710641,-0.007580351728320167,0.9974190520882215,0.9884238646482635,1.0218395632087358,1.0021385096232933,0.9997412677878397,1.0059553349875932,1.0051204819277106,0.9924196482716798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04,January,2012,0.5,36.12,2.09,42.79,42.95,42.2,42.51,43900.0,22.64,22.64,22.2,22.2,1000.0,23.93,24.33,23.93,24.33,800.0,60.82,61.33,60.73,60.92,1148500.0,77.0,77.85,76.84,77.28,597400.0,40.43,40.59,40.34,40.54,3842100.0,66.41,66.84,66.12,66.74,6042400.0,33.0,33.18,32.66,32.73,1721200.0,1866189.0,22200.0,19464.0,69966620.0,46167072.0,155758734.0,403269775.99999994,56334875.99999999,-0.0025809479117785417,-0.011576135351736516,0.021839563208735813,0.0021385096232933165,-0.0002587322121603286,0.005955334987593153,0.005120481927710641,-0.007580351728320167,0.9948447654685663,0.9769817362062087,1.04415609293862,1.0042815924699955,0.999482602518037,1.0119461359900008,1.0102671831905934,0.9848967582756847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025809479117785113,-0.011576135351736558,0.0,0.0,-0.00025873221216028084,0.0,0.0,-0.007580351728320199
2012-01-05,January,2012,0.5,36.12,2.09,42.25,42.25,41.35,41.51,87400.0,21.8,21.8,21.63,21.73,1400.0,23.5,23.52,22.6,22.84,1000.0,60.96,61.12,60.68,60.83,870500.0,77.12,77.84,77.05,77.68,701700.0,40.46,40.75,40.37,40.72,4044700.0,66.58,66.67,66.12,66.22,4909100.0,32.69,32.73,31.8,31.81,4621400.0,3627974.0,30422.0,22840.0,52952515.0,54508056.00000001,164700184.0,325080602.0,147006734.0,-0.023523876734885873,-0.021171171171171066,-0.061241265926839206,-0.0014773473407748705,0.005175983436852993,0.004440059200789381,-0.007791429427629559,-0.028108768713718257,0.9714421598353372,0.9562978886378791,0.9802106519818365,1.0027979197299708,1.004655907914093,1.0164392367418065,1.0023957577297138,0.9572125230904226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02604411074612859,-0.03250222617987535,-0.0612412659268392,-0.00147734734077487,0.0,0.0,-0.007791429427629547,-0.03547604608853846
2012-01-06,January,2012,0.5,36.12,2.09,41.72,41.8,41.26,41.35,31000.0,21.67,21.67,21.44,21.58,1000.0,22.75,22.85,22.75,22.85,400.0,60.93,60.96,60.58,60.69,795700.0,77.81,77.85,77.26,77.42,322400.0,40.5,40.54,40.06,40.07,3962400.0,66.27,66.27,65.29,65.39,6533000.0,31.75,31.83,31.22,31.45,4981500.0,1281850.0,21580.0,9140.0,48291033.0,24960208.0,158773368.0,427192870.0,156668175.0,-0.0038544928932786604,-0.00690289921767151,0.0004378283712784814,-0.0023014959723820505,-0.0033470648815654425,-0.015962671905697445,-0.012533977650256656,-0.011317195850361506,0.9676977429340207,0.9496966606905398,0.9806398160151035,1.000489984356599,1.0012932594066566,1.0002141506936195,0.9898317517056174,0.9463795614961896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029798216799624508,-0.03918076580587719,-0.06083025071927654,-0.0037754432042023966,-0.0033470648815654416,-0.01596267190569741,-0.020227749475576776,-0.04639175257731949
2012-01-09,January,2012,0.5,36.12,2.09,42.05,42.52,41.87,42.19,153700.0,21.82,21.87,21.82,21.87,400.0,22.65,23.01,22.6,23.0,1400.0,60.8,61.39,60.7,60.96,1018800.0,77.6,78.15,77.27,77.96,282000.0,40.08,40.15,39.83,40.0,2819600.0,65.26,65.83,65.01,65.73,5859600.0,31.53,31.91,31.5,31.83,1759800.0,6484603.0,8748.0,32200.0,62106048.0,21984720.0,112784000.0,385151508.0,56014434.0,0.020314389359129326,0.013438368860055672,0.006564551422319376,0.004448838358872997,0.0069749418754843084,-0.001746942850012534,0.005199571799969549,0.012082670906200299,0.987355931665933,0.9624590347220624,0.9870772765141085,1.004941002576673,1.0082772216913323,0.9984668337345839,0.9949784529685004,0.9578143542901022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010089160018770452,-0.026268922528940378,-0.05466502260583644,0.0,0.0,-0.01768172888015724,-0.015133353311357305,-0.03486961795027285
2012-01-10,January,2012,0.5,36.12,2.09,42.09,42.21,41.86,42.05,64800.0,21.86,21.86,21.76,21.76,200.0,23.0,23.0,23.0,23.0,0.0,61.14,61.33,60.83,61.0,720000.0,78.21,79.07,78.0,78.8,320900.0,40.09,40.38,40.04,40.33,3686300.0,65.98,66.05,65.47,65.66,4996000.0,32.02,32.44,31.92,32.4,3088000.0,2724840.0,4352.0,0.0,43920000.0,25286920.0,148668479.0,328037360.0,100051200.0,-0.0033183218772221412,-0.005029721079103822,0.0,0.0006561679790026975,0.010774756285274467,0.008249999999999869,-0.0010649627263047412,0.01790763430725728,0.9840795668772809,0.9576181342273469,0.9870772765141085,1.0056004126833507,1.01914116302305,1.0067041851128942,0.9939188380026126,0.9749665434809711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013374002815579517,-0.031166518254675098,-0.05466502260583644,0.0,0.0,-0.009577603143418578,-0.016182199580461444,-0.017586416009702826
2012-01-11,January,2012,0.5,36.12,2.09,41.78,42.06,41.62,42.06,41600.0,22.08,22.25,21.75,22.25,900.0,23.3,23.3,23.3,23.3,200.0,60.9,61.22,60.52,61.09,737800.0,78.5,78.81,78.2,78.81,297400.0,40.18,40.49,40.18,40.42,3048700.0,65.0,65.17,64.13,65.01,10470200.0,32.49,32.49,31.98,32.27,3568400.0,1749696.0,20025.0,4660.0,45072202.0,23438094.0,123228454.0,680667702.0,115152268.00000001,0.00023781212841877952,0.022518382352941124,0.01304347826086949,0.0014754098360656442,0.00012690355329958436,0.002231589387552857,-0.009899482180931951,-0.004012345679012208,0.9843135929336134,0.9791821455219883,0.9999521975121185,1.0070840854233754,1.0192704956579515,1.0089507354887972,0.9840795561765131,0.9710546406830538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013139371187235814,-0.009349955476402686,-0.04233456637895613,0.0,0.0,-0.007367387033398704,-0.025921486364998376,-0.02152819890842916
2012-01-12,January,2012,0.5,36.12,2.09,39.56,40.0,39.07,39.75,250700.0,21.22,21.35,20.73,21.16,4300.0,23.1,23.1,23.04,23.04,200.0,61.26,62.0,61.21,61.63,785900.0,78.93,79.23,78.33,79.08,460200.0,40.43,40.7,40.43,40.64,2939700.0,65.1,65.18,64.47,64.62,5745700.0,32.37,32.6,32.3,32.58,1489800.0,9965325.0,90988.0,4608.0,48435017.0,36392616.0,119469408.0,371287134.0,48537684.0,-0.05492154065620547,-0.04898876404494379,-0.011158798283261828,0.008839417253232895,0.003425961172440095,0.00544285007422074,-0.005999077065066971,0.009606445615122361,0.9302535739208543,0.9312132224379899,0.9887939326471764,1.015986121863523,1.0227624768002894,1.0144423030743375,0.9781759870808533,0.9803830242780878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06733927733458454,-0.05788067675868223,-0.0530209617755858,0.0,0.0,-0.0019646365422395233,-0.031765058435720646,-0.012128562765312139
2012-01-13,January,2012,0.5,36.12,2.09,39.53,39.77,38.95,39.19,70400.0,21.09,21.09,20.82,20.93,3400.0,22.95,22.95,22.95,22.95,900.0,61.54,61.66,61.06,61.48,672400.0,78.94,79.0,78.36,78.83,266800.0,40.52,40.75,40.47,40.64,3099100.0,64.44,64.72,64.3,64.4,6677900.0,32.17,32.58,32.15,32.48,1557900.0,2758976.0,71162.0,20655.0,41339152.0,21031844.0,125947424.0,430056760.00000006,50600591.99999999,-0.014088050314465472,-0.010869565217391353,-0.00390625,-0.0024338796040890287,-0.00316135558927666,0.0,-0.003404518724852923,-0.0030693677102516803,0.9171481147662459,0.921091339585403,0.9849314563477733,1.0135133339634819,1.0195291609277544,1.0144423030743375,0.9748457686166351,0.9773738682796898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0804786485218207,-0.0681211041852183,-0.05672009864364994,-0.002433879604089128,-0.003161355589276683,-0.0019646365422395233,-0.03506143242433307,-0.015160703456640175
2012-01-17,January,2012,0.5,36.12,2.09,39.55,39.55,39.18,39.25,51000.0,21.27,21.27,20.94,20.96,1800.0,23.44,23.44,23.19,23.21,800.0,61.84,62.0,61.33,61.43,727100.0,79.33,80.41,79.33,80.25,492200.0,40.8,41.06,40.66,40.77,2917400.0,64.76,65.09,64.6,64.65,7457600.0,32.37,32.48,31.97,32.02,2674700.0,2001750.0,37728.0,18568.0,44665753.0,39499050.0,118942398.00000001,482133840.00000006,85643894.00000001,0.0015310028068384884,0.0014333492594362784,0.011328976034858496,-0.0008132726089784548,0.01801344665736404,0.003198818897637956,0.0038819875776396895,-0.014162561576354538,0.9185522711042396,0.9224115851748709,0.9960897212127156,1.0126890713301349,1.0378943950837536,1.0176873202839751,0.9786301077805195,0.9635317506870588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0790708587517597,-0.06678539626001793,-0.04603370324702017,-0.0032451728054520975,0.0,0.0,-0.03131555289181886,-0.029108550636749247
